lat;lon;mcc;mnc;ci;pci;earfcn;bandwidth;rsrp;rssi;rssnr;
55.01319470000000;82.95308009999999;250;2;138256652;241;1875;0;-74;0;0;
55.01319610000000;82.95307960000000;250;2;138256652;241;1875;0;-74;0;0;
55.01319610000000;82.95307960000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320450000000;82.95308510000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320490000000;82.95308550000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320460000000;82.95308540000001;250;2;138256652;241;1875;0;-74;0;0;
55.01319140000000;82.95309039999999;250;2;138256652;241;1875;0;-74;0;0;
55.01317530000000;82.95309000000000;250;2;138256652;241;1875;0;-74;0;0;
55.01317460000000;82.95308439999999;250;2;138256652;241;1875;0;-74;0;0;
55.01317870000000;82.95307960000000;250;2;138256652;241;1875;0;-74;0;0;
