P_Tx_dBm;L_cable;shadow_std;lat;lon;ci;distance;rsrpPhone;rsrpLos;rsrpNlos;rsrpLosLib;rsrpNlosLib;diff_nlos;diff_nlos_lib
40;3;8;55.0131845;82.953089;138256652;158.925370261478;-74;-44.978016345328;-65.5939520174419;-44.9780051199943;-78.5300640763861;-8.40604798255815;4.53006407638611
40;3;8;55.0131845;82.953089;138256652;158.925370261478;-74;-44.978016345328;-72.2527055503017;-44.9780051199943;-61.0770735096753;-1.74729444969832;-12.9229264903247
40;3;8;55.0131845;82.953089;138256652;158.925370261478;-74;-44.978016345328;-58.5561596004326;-44.9780051199943;-54.3293913573253;-15.4438403995674;-19.6706086426747
40;3;8;55.0131845;82.953089;138256652;158.925370261478;-74;-44.978016345328;-64.505990762437;-44.9780051199943;-89.3299125816026;-9.49400923756301;15.3299125816026
40;3;8;55.0131933;82.9531007;138256652;159.527257757458;-74;-45.0133630971125;-59.6616421165505;-45.0133528556257;-83.1474499845789;-14.3383578834495;9.14744998457887
40;3;8;55.0131943;82.9531024;138256652;159.619511672033;-74;-45.0187695591344;-78.8963680340264;-45.0187594296581;-76.1944902092895;4.89636803402637;2.19449020928947
40;3;8;55.0131925;82.9531009;138256652;159.552049375092;-74;-45.0148162828333;-68.7811354901502;-45.0148059512738;-65.2219890336681;-5.21886450984978;-8.77801096633188
40;3;8;55.0131925;82.9530993;138256652;159.450998821239;-74;-45.0088917465362;-79.3624628997272;-45.0088814155046;-73.6576027243992;5.36246289972721;-0.342397275600831
40;3;8;55.0131924;82.9530989;138256652;159.427260911132;-74;-45.0074994849731;-60.0811326349305;-45.0074891428259;-63.6770147653882;-13.9188673650695;-10.3229852346118
40;3;8;55.0131924;82.9530987;138256652;159.414629837298;-74;-45.0067585739527;-72.402613185482;-45.0067482318718;-77.5869504526074;-1.59738681451802;3.58695045260744
40;3;8;55.0131924;82.9530986;138256652;159.408314307574;-74;-45.0063880977861;-63.0361121758958;-45.0063777557383;-58.3876545467285;-10.9638878241042;-15.6123454532715
40;3;8;55.0131924;82.9530986;138256652;159.408314307574;-74;-45.0063880977861;-70.2744634710401;-45.0063777557383;-67.6600690990948;-3.72553652895991;-6.33993090090523
40;3;8;55.0131924;82.9530986;138256652;159.408314307574;-74;-45.0063880977861;-58.5627712641436;-45.0063777557383;-67.6250585632736;-15.4372287358564;-6.37494143672637
40;3;8;55.0131924;82.9530986;138256652;159.408314307574;-74;-45.0063880977861;-69.8407568468067;-45.0063777557383;-80.376408631889;-4.15924315319332;6.37640863188896
40;3;8;55.01319;82.9530891;138256652;158.845321466105;-74;-44.9733057070644;-56.4595062981197;-44.9732950985142;-61.0976334876373;-17.5404937018803;-12.9023665123627
40;3;8;55.0131891;82.9530842;138256652;158.549961853555;-74;-44.9559049744558;-64.1533784803219;-44.9558942665892;-61.995181506063;-9.84662151967808;-12.004818493937
40;3;8;55.013191;82.9530798;138256652;158.242667200902;-74;-44.9377681458358;-72.0327540491636;-44.9377576528055;-66.7604628188006;-1.96724595083639;-7.23953718119938
40;3;8;55.0131937;82.9530787;138256652;158.131701078212;-74;-44.931210534364;-61.1112160005551;-44.9312003451032;-64.3675689884017;-12.8887839994449;-9.63243101159826
40;3;8;55.0131965;82.9530758;138256652;157.906046521175;-74;-44.9178617482402;-64.181216273579;-44.9178518749309;-69.2311553471312;-9.81878372642096;-4.76884465286875
40;3;8;55.0131978;82.9530801;138256652;158.158179246689;-74;-44.9327756779291;-63.0429695040632;-44.9327659496633;-71.6870129955335;-10.9570304959368;-2.31298700446651
40;3;8;55.0131947;82.9530801;138256652;158.204890986968;-74;-44.9355362312773;-91.1046262210392;-44.935526154023;-71.7021291829757;17.1046262210392;-2.29787081702428
40;3;8;55.0131961;82.9530796;138256652;158.152119723557;-74;-44.932417517286;-68.9304220983451;-44.9324075977376;-68.752132698627;-5.06957790165492;-5.24786730137298
40;3;8;55.0131961;82.9530796;138256652;158.152119723557;-74;-44.932417517286;-77.3177586780631;-44.9324075977376;-71.9528338921694;3.31775867806309;-2.04716610783061
40;3;8;55.0132045;82.9530851;138256652;158.375839569252;-74;-44.9456322426598;-64.9952157230261;-44.9456232689396;-63.1234388995558;-9.00478427697387;-10.8765611004442
40;3;8;55.0132049;82.9530855;138256652;158.395372550493;-74;-44.9467851724338;-84.490418174647;-44.9467762438141;-63.318584900882;10.490418174647;-10.681415099118
40;3;8;55.0132046;82.9530854;138256652;158.393365710623;-74;-44.9466667254382;-76.4524633461559;-44.9466577629371;-62.5436039135504;2.45246334615587;-11.4563960864496
40;3;8;55.0131914;82.9530904;138256652;158.905796082061;-74;-44.9768646717397;-72.9411663702465;-44.9768542200152;-65.6639620383826;-1.05883362975345;-8.33603796161735
40;3;8;55.0131753;82.95309;138256652;159.138024723856;-74;-44.9905194180818;-52.262240247655;-44.9905071642703;-63.379706918815;-21.737759752345;-10.620293081185
40;3;8;55.0131746;82.9530844;138256652;158.7966618126;-74;-44.9704411177602;-74.0109281954613;-44.9704287883479;-63.374149944694;0.0109281954613181;-10.625850055306
40;3;8;55.0131787;82.9530796;138256652;158.426158449732;-74;-44.9486020269616;-70.2634261391969;-44.9485901568229;-52.0383146823549;-3.73657386080309;-21.9616853176451
40;3;8;55.0131807;82.9530776;138256652;158.267338206301;-74;-44.9392254962443;-64.5689720802918;-44.9392138502721;-64.3201380183904;-9.43102791970816;-9.67986198160958
40;3;8;55.0131815;82.9530768;138256652;158.203881780831;-74;-44.9354765978252;-75.7699496181244;-44.9354650415704;-59.2185921552403;1.76994961812443;-14.7814078447597
40;3;8;55.0131818;82.9530766;138256652;158.186403972329;-74;-44.9344437857061;-71.6603468441492;-44.9344322630631;-75.6991492571184;-2.33965315585077;1.69914925711844
40;3;8;55.0131788;82.9530791;138256652;158.392987450764;-74;-44.9466443997573;-78.516603321467;-44.9466325409878;-67.7721866818309;4.51660332146697;-6.22781331816907
40;3;8;55.0131784;82.9530802;138256652;158.468920809295;-74;-44.9511251214056;-71.5094439182059;-44.9511132175331;-49.7215709419466;-2.49055608179405;-24.2784290580534
40;3;8;55.013181;82.9530829;138256652;158.596754582776;-74;-44.9586637751549;-68.4655957566525;-44.9586521605825;-68.6322818154111;-5.53440424334754;-5.3677181845889
40;3;8;55.0131825;82.9530812;138256652;158.465268894707;-74;-44.9509096740509;-73.8019907515366;-44.9508982278645;-55.6247472231786;-0.198009248463421;-18.3752527768214
40;3;8;55.0131912;82.9530836;138256652;158.47950513106;-74;-44.951749524319;-68.4710337339966;-44.9517390524435;-67.1331862309424;-5.52896626600335;-6.86681376905761
40;3;8;55.0131989;82.9530936;138256652;158.99482757877;-74;-44.9821018660678;-64.7525087874163;-44.9820922576689;-64.0759498660497;-9.24749121258374;-9.92405013395026
40;3;8;55.0132089;82.9531139;138256652;160.13483578747;-74;-45.048914757291;-79.407300020519;-45.0489062740652;-80.7856164412809;5.407300020519;6.78561644128089
40;3;8;55.0132335;82.9531282;138256652;160.722160601774;-74;-45.0831587260928;-52.4817012470478;-45.0831530427028;-73.4076946455749;-21.5182987529522;-0.592305354425136
40;3;8;55.0132227;82.9530589;138256652;156.467521706317;-74;-44.8323332485021;-62.6951124473469;-44.8323263446744;-76.1284651901962;-11.3048875526531;2.12846519019618
40;3;8;55.0132116;82.9530851;138256652;158.275494683446;-74;-44.9397072628173;-59.7484429178918;-44.9396990927237;-60.9211509339001;-14.2515570821082;-13.0788490660999
40;3;8;55.0131925;82.953113;138256652;160.31628363256;-74;-45.0595068984712;-70.5508434288464;-45.059496562951;-69.6476547387392;-3.44915657115358;-4.35234526126081
40;3;8;55.0131724;82.9531134;138256652;160.66141297444;-74;-45.0796223996986;-61.9242014969196;-45.0796098125229;-85.778909670187;-12.0757985030804;11.778909670187
40;3;8;55.0131527;82.9531268;138256652;161.847362998936;-74;-45.1484300378;-64.5469274171115;-45.1484152588714;-70.6522886451317;-9.45307258288852;-3.34771135486825
